Проект,Категории,Цена,Заявки
Приложение,ПО для мобильных устройств,,3
"Видео ролик на тему ""Холодная Война - Гонка вооружений"" для ПК игры",Видеомонтаж,,11
Ищу художника для работы над 2д картинками города,Иллюстрации и Рисунки,,10
Кастомизация сайта на WordPress,Веб-программирование,$50,6
Перерисовать несколько элементов на сайте,Дизайн сайтов,,12
Cоздать класс-интерфейс для работы с bitcoind на удаленном сервере,Интерфейсы игр и программ,,1
Нарисовать два рекламных баннера для интернет магазина,Наружная реклама,,24
Исправить баги в слайдшоу,Веб-программирование,,1
Нужен робот по управлению объявлениями в яндекс директ.,Веб-программирование,,2
Рерайтинг текста,Рерайтинг,,14
Скрипт парсинга и обработки выдачи по условию,Веб-программирование,$35,2
Дизайн шапки,Баннеры,,10
Верстка лендинга,HTML-верстка,$30,указан
Записать видеоотзыв,Видеомонтаж,$15,1
Заливка арибута (размеры товара) на сайт. Компонент joomshopping,Наполнение сайтов,$12,12
Создать 3 экрана для презентации,Дизайн сайтов,$45,17
Сделать рабочими формы отправки на емейл,Веб-программирование,,9
Убрать копирайты на 50 лейдингов,HTML-верстка,,10
Видеомонтаж,Видеомонтаж,,указан
Статьи по ОТиПБ,Копирайтинг,,6
Поисковое продвижение сайта,Поисковые системы (SEO),,12
Доработка сайта на Joomla,Системы управления (CMS),,3
Дизайн витрины магазина,Наружная реклама,,18
"Cочинение на тему: ""Ценности моей семьи""","Рефераты, Курсовые и Дипломы",$1,2
Генерация лайков,Веб-программирование,,1
Нужно провести интернет рассылку,Социальные сети (SMM и SMO),,нет
Курсовая работа по экономике,"Рефераты, Курсовые и Дипломы",,1
"На сайт WP модуль ""Табло вылета -прилета аэропортов мира""",Системы управления (CMS),,3
Нужна песня,Музыка и Звуки,,9
Сверстать шаблон,HTML-верстка,$7,11
Озвучка текста на камеру,Озвучивание,,8
Создание сайта,Веб-программирование,,8
Заверстать контент страницы,HTML-верстка,,10
Требуется футбольный аналитик-рерайтер,Рерайтинг,,10
Дополненная реальность/Augmented Reality,ПО для мобильных устройств,,нет
Написание статьи на тему шугаринг.,Копирайтинг,,19
Загрузка контента на сайты / помощь по сайтам,Наполнение сайтов,,4
Написать статью,Копирайтинг,,15
"Консультация по iptables, написание дополнительных правил",Системное администрирование,,4
Отредактировать текст и картинки на WordPress,Наполнение сайтов,,14
Натяжка на WP,Системы управления (CMS),,указан
"Скрипт, который будет выводить число реакций из поста Facebook в HTML",Веб-программирование,,2
Логотип для интернет магазина.,Логотипы и Знаки,$95,18
"Прайсинг - написать бота, анализирующего данные на стороннем сайте",Веб-программирование,,3
Нужен Корпоративный Супер Герой,Иллюстрации и Рисунки,,12
Прописать метатеги title,Веб-программирование,,5
Перенос сайт на WordPress,Системы управления (CMS),,7
Доработка сайта,Веб-программирование,,4
Сверстать заглавную страницу вебсайта,HTML-верстка,,указан
Работа с публикациями. Чтение статей. Ответы на вопросы.,"Контрольные, Задачи и Тесты",,9
Сверстать и установить шаблон UMI,HTML-верстка,,2
Сделать дизайн интерфейса софту логистики,Интерфейсы игр и программ,$400,указан
Провести настройку пикселя конверсий на сайт,Веб-программирование,,1
Доработка проекта php + laravel,Веб-программирование,,2
Настройка шаблона WP,Системы управления (CMS),$15,указан
Настроить цели в Метрике и Аналитике на Wordpress,Контекстная реклама,$10,2
Настройка программы под CentOS 6.. Linux,Системное администрирование,,11
Парсер,Веб-программирование,,10
Требуется коучинг/помощь в настройке контекста,Контекстная реклама,,3
Доработка проекта Yii2,HTML-верстка,$120,указан
Моментальный автокомментатор новых постов группы вконтакте,Веб-программирование,,указан
Нужен диктор,Озвучивание,,19
Лендинг по шаблону,HTML-верстка,$15,10
Донастройка сайта на Джумле,Веб-программирование,,1
Литературный анализ художественного текста (2-3 стр.),Копирайтинг,,11
Требуется специалист по DatalifeEngine на доработку сайта,Системы управления (CMS),,1
Настройка электронной коммерции в метрике,Поисковые системы (SEO),,1
Привлечь людей,Управление продажами,,нет
Составить ТЗ на верстку,HTML-верстка,$30,12
Внести правки сайт - работает на Битрикс,HTML-верстка,,5
Ищу специалиста по Неткат,HTML-верстка,,1
МХК. Прописать методику работы с худ. словом на уроках МХК.,"Рефераты, Курсовые и Дипломы",,2
Настройка цели в яндексе,Поисковые системы (SEO),,3
PDF в Word c возможностью редактирования текста,Редактирование и Корректура,,8
Доработка магазина на Битрикс,Веб-программирование,,1
"Фирменный бланк (благодарственное письмо), таблички для компании.",Фирменный стиль,,24
Заполнение сайта на Joomla,Наполнение сайтов,,5
"Программист  JScriptjQuery, MVVM,",Веб-программирование,,3
Нужно сделать плагин под WP,Веб-программирование,,указан
Генерация прямых ссылок на видеопотоки с различных сайтов,Веб-программирование,,1
Создание картинок для канала на youtube,Иконки и Пиксель-арт,,11
Копирайт - 500 статей про диеты и схожие женские темы,Копирайтинг,,183
Необходимо для интернет-магазина gosobr.ru подготовить баннер.,Баннеры,,19
Настроить HTML5 шаблон письма с Яндекс почты,Дизайн сайтов,,5
Переделать поиск новостей в custom [DLE],Веб-программирование,,2
Доработка сайта на WordPress Multisite,Системы управления (CMS),,4
Необходимо сделать и смонтировать интро для канала Youtube.,Видеомонтаж,,21
Адаптивная верстка дизайна на wordpress,Системы управления (CMS),$50,14
HTML5-баннер,HTML-верстка,,13
"Нужны правки по сайту ИМ, cms joomla",Интернет-магазины,,4
Довести дизайн шаблонного сайта,Дизайн сайтов,,10
Создать-подправить дизайн главной.,Дизайн сайтов,$15,12
Заказ №795028,Веб-программирование,,1
Доработки по WP интернет-магазин,Веб-программирование,,3
Перевод презентации (рус-анг),Переводы,,19
Внести правки в WebAsyst (Shop Script 6),Веб-программирование,,2
Записать видео инструкцию до 1 минуты действий на сайте,Озвучивание,,6
Доработка самописного движка на фреймворке laravel.,Веб-программирование,$300,нет
Дизайн пледа,Дизайн продукции,,10
Написать диплом (юриспруденция),"Рефераты, Курсовые и Дипломы",,указан
Создание темы для Wordpress под ключ,Сайты «под ключ»,,4
Мини CRM система на Yii Framework,Веб-программирование,,5
Настроить прием почты на сервере,Системное администрирование,,11
Сделать Landing под ключ,Сайты «под ключ»,$160,34
Лэндинг для сайта по визам,HTML-верстка,,43
Грамотное и интересное описание фотографий.,Копирайтинг,,17
Требуется создать анимированный(GIF) баннер,Баннеры,,10
Нужен корпоративный сайт,Сайты «под ключ»,$150,18
Нужно прописать скрипты для обновления остатков 10ти поставщиков,Веб-программирование,,1
"Таргетинг для соцсетей, создание рекламных аккаунтов.",Социальные сети (SMM и SMO),,3
Расскадровки в 3Д,3D-графика,,1
Требуется сделать сайт адаптивным и добавить баннера адсенс,HTML-верстка,$65,6
Предвизуальная раскадровка Тизера,Иллюстрации и Рисунки,,2
Копирайтинг статей для сайта,Копирайтинг,$91,указан
Рерайт статей на тему электроснабжение,Рерайтинг,,7
Баннер для магазина детской одежды,Баннеры,,17
Немного изменить дизайн,Дизайн сайтов,$20,указан
Статьи на сайт полезных советов,Копирайтинг,,7
Доработка проекта на системе NetCat - срочно,Веб-программирование,$70,1
Доработка интернет-магазина на битрикс,Дизайн сайтов,,4
Дизайн портала недвижимости,Дизайн сайтов,,36
Собрать СЯ НЧ и СЧ для 100 статей,Поисковые системы (SEO),,11
Изменить видеоролик 301111,Видеомонтаж,,11
"Написать программу, исправляющую разорванные по буквам слова",Прикладное ПО,,4
Натяжные потолки,Копирайтинг,,15
Нужна помощь с js,Веб-программирование,,8
Opencart 2.0 - прайс-лист со штрих-кодами EAN-13,1С-программирование,,1
Сайт агентства недвижимости,Сайты «под ключ»,,26
Перевод сайта с русского на украинский,Переводы,,29
Ищу 3д моделлера по персонажам,3D-графика,,6
"Обновить сайт - тему, шаблон",Дизайн сайтов,,24
Нужен специалист по репутации,Наполнение сайтов,,1
Редактор\корректор,Редактирование и Корректура,,13
Необходимо сделать редизайн на сайте – 3 страницы,Веб-программирование,,нет
Семантическое ядро,Поисковые системы (SEO),,7
PHP Curl авторизироваться на mail,Веб-программирование,$5,2
Написать тексты - парикмахерские услуги,Копирайтинг,,17
Нужно переделать страницу отзывов на мониторинге обменников,Веб-программирование,,1
Установить плагины под SEO в Wordpress,Системы управления (CMS),,указан
2д анимация,Анимация,,10
Перенос сайта с максимальным сохранением SEO-позиций,Веб-программирование,,3
Нужен верстальщик,HTML-верстка,$150,19
Доработать интернет-магазин на prestashop,Системы управления (CMS),,2
Настроить вывод из XML,Веб-программирование,,5
Натянуть верстку на OpenCart,Веб-программирование,,6
Синхронизация/интеграция 1С 8.2 интернет-магазином на Opencart,Веб-программирование,,1
Написать программу для вконтакте,Прикладное ПО,,2
Написать 100+ статей по тематике строительство (отопление). Рерайт.,Рерайтинг,,17
Создание парсера для сайта planeta 27,Веб-программирование,,1
Немного отредактировать сайт на Drupal,Веб-программирование,,5
Продвижение сайта тематика - продажа обуви,Поисковые системы (SEO),,12
Скрипт формы обратной связи на Вордпрессе с Битрикс24,Веб-программирование,,нет
Озвучка роликов на английском языке,Озвучивание,,19
Продолжить наполнение сайта.,Наполнение сайтов,$40,указан
Логотип для доставки пиццы/суши.,Логотипы и Знаки,,27
Нарисовать персонажа похожего на человека в реальной жизни,Иллюстрации и Рисунки,,11
"SMM, контекстная реклама",Контекстная реклама,,6
Создать лендинг для агентства недвижимости,Веб-программирование,$320,9
Android - добавить экран с анимацией кассеты,ПО для мобильных устройств,$25,4
Правки WP,Системы управления (CMS),,3
Обновление дизайна проекта,Дизайн сайтов,,20
Юзабилити тестирование веб программы / написать отчет с рекомендациями,Тестирование сайтов,,10
"Нужен верстальщик,для верстки письма.",HTML-верстка,,указан
Озвучка событий на игровом сайте.,Озвучивание,,16
СЕО аудит сайта,Поисковые системы (SEO),,14
Сделать 2 простых калькулятора на сайте,Веб-программирование,,6
Рекламная сеть,Веб-программирование,,2
Ищу человека который хорошо разбирается в WordPress,Системы управления (CMS),$20,20
Привлечение целевой аудитории,Социальные сети (SMM и SMO),,7
Front-end разработка для Web-приложения,Веб-программирование,,2
Php. Скрипт с написанием сообщения в личку при вступлении в группу ВК.,Веб-программирование,,3
Постинг материалов с Laravel на WordPress + авто скрины,Веб-программирование,$380,1
Создание фигур для VISIO 2016,Интерфейсы игр и программ,,нет
Фирменный стиль и сайт под ключ для агентства недвижимости,Фирменный стиль,,3
Необходимо 1С Синхронизировать (интегрировать) с ОпенКарт,1С-программирование,,2
Нужен Android программист для разработки нескольких простых приложений,ПО для мобильных устройств,,11
Требуется SEO сайта,Поисковые системы (SEO),,9
Требуется написать виджет по WordPress,Системы управления (CMS),,2
"Open Cart, добавить JS код для Google Analytics и Яндекс.Метрики",Системы управления (CMS),,указан
Написать серию статей для сайта - 9 шт.,Копирайтинг,,26
Написание текстов с ключевыми словами - 8000 знаков,Копирайтинг,,17
Разработать дизайн сайта - 4 страницы без главной,Дизайн сайтов,,31
Скачать верстку,Веб-программирование,,8
Нужен программист для работы с Selenium,Тестирование ПО,,4
Поднять продажи наших продуктов на амазон,Социальные сети (SMM и SMO),,1
Методическая разработка по ППД,"Рефераты, Курсовые и Дипломы",,1
Доработка интернет-магазина,Интернет-магазины,,3
Доработки по сайт (opencart),Системы управления (CMS),,указан
Связка Delphi+MySQL,Прикладное ПО,,4
Рерайт текста объявлений для авито/olx,Рерайтинг,,8
Сайт,Сайты «под ключ»,,24
Сделать превью,Иконки и Пиксель-арт,,8
Сделать внешние миниатюры в Вордпресс,Системы управления (CMS),,2
"Статьи на тематики ""Мода"", ""Шоппинг"", ""Звёзды""",Копирайтинг,$200,48
Нужно сделать шаблонное заполнение Descriptions в DLE,Веб-программирование,$3,1
Доработка компонента комментариев Joomla Virtuemart Jcomment,Веб-программирование,,2
"1с-битрикс, Яндекс.Доставка. Оформление заказа.",Системы управления (CMS),,3
Нужна программа для постинга объявлений на OLX,Прикладное ПО,,2
Перевод художественных текстов,Переводы,,14
Видео заставка ЛОГО на базе шаблона,Видеомонтаж,,20
Статья про IT-бизнес,Копирайтинг,,2
Монтаж видео.,Видеомонтаж,$10,21
Перенести 4 сайта на новый хостинг и удалить вирусы,Системное администрирование,$10,14
Наполнить сайт,Наполнение сайтов,,21
Разработка дизайна сайта (.psd),Дизайн сайтов,$60,указан
Создание бизнес плана,Финансовые услуги,,3
NodeJS Back End Dev,Веб-программирование,,2
Запрограммировать комплекс действий на Scada,Прикладное ПО,$10000,1
"Требуется личный помощник (удаленка, офисные задачи)",Управление проектами,,38
Необходимо написать программу для Ацпи + атмеловский контроллер,Системное программирование,,нет
Настроить магазин на Prestashop,Веб-программирование,,3
Курсовые на заказ,"Рефераты, Курсовые и Дипломы",,4
Написать обработку для XML файла,Системное программирование,$10,указан
Требуется программист Битрикс,Веб-программирование,,2
Настройка контекстной рекламы Google Adwords,Контекстная реклама,,9
Нужен дизайн-макет для типографии,Дизайн продукции,,8
Вывод номенклатуры с учетом содержания подпапок в 1С УКР УТ 3.1.1.22,1С-программирование,,указан
Повесить и настроить WP шаблон,Системы управления (CMS),,7
Написать статью на тему недвижимости,Копирайтинг,$5,9
Дизайн этикетки,Дизайн продукции,,15
Написать сценарий про команду,Сценарии,,2
Разработать 3D модель интерьерных 3D панелей,3D-графика,,указан
Копирайт на сайт по доставке цветов (большой объём заказа),Копирайтинг,,9
Проектирование Изделия,Чертежи и Схемы,,указан
Визуализация узлов креплений стеновых панелей,Чертежи и Схемы,,12
Aдаптивный дизайн сайта-визитки по притотипу (Wordpress),Дизайн сайтов,$180,33
Прорисовка баннеров для ВКонтакте,Баннеры,,указан
Внесения технических правок на сайтах,Веб-программирование,,6
Верстка моб. лендинга,HTML-верстка,,7
Написание текстов согласно заданию,Копирайтинг,$2,указан
Баннер на рассылку Емейл,Баннеры,,16
Создание библиотеки мебели для программы ПРО100,Веб-программирование,,2
Лендинговая страничка подключения к такси,Веб-программирование,$25,7
Внутренняя оптимизация сайта,Поисковые системы (SEO),,14
Редизайн header,Дизайн сайтов,,указан
5 слайдеров с цитатами 1920x550 на сайт.,Баннеры,,16
Продвинуть сайт по электронным сигаретам,Поисковые системы (SEO),,16
"Drupal 7.x сайт: SSL, система скидок, запросы, URL, микроразметка...",Веб-программирование,,1
Верстальщик,HTML-верстка,$25,22
Внедрение 1С УНФ,1С-программирование,,нет
Необходимо реализовать Web-приложение,Веб-программирование,,2
Доработка и продвижение существующего сайта.,Наполнение сайтов,,12
Не работают мета теги на сайте,Системы управления (CMS),,3
Сделать интернет магазин на OpenCart,Интернет-магазины,,16
Создать парсер для ИМ,Веб-программирование,,3
Ищем аналитика,Контекстная реклама,,3
Написание программы,Прикладное ПО,,нет
Разработать логотип,Логотипы и Знаки,,указан
Программирование сайта по ТЗ на 1С Битрикс.,Веб-программирование,,2
Модель шкафа 3D,3D-графика,,13
Курсовая работа по проектированию и эксплуатации гнп,"Рефераты, Курсовые и Дипломы",,1
Мобильная адаптация сайт вордпресс,Веб-программирование,,6
Дизайн и верстка сайта по техническому заданию.,Дизайн сайтов,,12
Доработка сайта на Wordpress,Веб-программирование,,3
Необходим настроить рекламу в Facebook,Социальные сети (SMM и SMO),,5
Внести минимальные правки на сайте (самописная CMS + php Laravel),Веб-программирование,,3
Интеграция AMOcrm с мультифон(мегафон),Системное администрирование,,3
Разработать этикетку продукции Трилон-Б,Дизайн продукции,,21
Перевод с голландского на швейную тематику,Переводы,,5
"Копирайтер тематика пейнтбол, лазертаг",Копирайтинг,,5
